|Fecha:2025-08-07 19:01:59|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: pruebaerror@gmail.com
|Fecha:2025-08-07 19:02:18|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: dani@gmail.com
|Fecha:2025-08-07 19:02:44|Error: Error al conectar a la base de datos | Pantalla: login.php | Usuario: No autenticado
|Fecha:2025-08-07 19:13:27|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: dani@gmail.com
|Fecha:2025-08-07 21:11:03|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: ejemplo@gmail.com
|Fecha:2025-08-13 05:44:12|Error: Error al conectar a la base de datos | Pantalla: login.php | Usuario: No autenticado
|Fecha:2025-08-13 05:45:26|Error: Error al conectar a la base de datos | Pantalla: login.php | Usuario: No autenticado
|Fecha:2025-08-13 05:45:47|Error: Error al conectar a la base de datos | Pantalla: login.php | Usuario: No autenticado
|Fecha:2025-08-14 05:27:38|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: franco99cr@gmail.com
|Fecha:2025-08-14 06:20:02|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: lucas@gmail.com
|Fecha:2025-08-14 06:20:10|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: lucas@gmail.com
|Fecha:2025-08-14 06:20:14|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: franco99cr@gmail.com
|Fecha:2025-08-14 06:20:20|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: lucas@gmail.com
|Fecha:2025-08-14 06:20:29|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: lucas@gmail.com
|Fecha:2025-08-15 00:05:09|Error: Error al conectar a la base de datos | Pantalla: login.php | Usuario: No autenticado
|Fecha:2025-08-15 00:07:31|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: mariaAdmin@gmail.com
|Fecha:2025-08-15 02:36:31|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: dani@gmail.com
|Fecha:2025-08-15 02:36:42|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: daniii@gmail.com
|Fecha:2025-08-15 02:36:55|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: dani@gmail.com
|Fecha:2025-08-15 02:37:24|Error: Intento de login con correo no registrado | Pantalla: login.php | Usuario: dani@gmail.com
|Fecha:2025-08-15 02:38:10|Error: Intento de login con contraseña incorrecta | Pantalla: login.php | Usuario: mariaAdmin@gmail.com
